question,choices,answer,explanation
コンテンツの除外によってどのような影響がありますか? (それぞれの正解は解決策の一部を示しています。2 つ選択してください。),A.除外されたコンテンツは、GitHub Copilot でコンテキストとして直接使用することはできません。;B.除外されたファイルでは、GitHub Copilot の提案は利用できなくなります。;C.除外されたコンテンツは、コードのデバッグ中に使用されなくなります。;D. IDE は除外されたコンテンツ内のコーディング提案をカウントしません。,AB,除外されたファイルは提案に利用されず、Copilot によるコンテキスト参照も行われません。
GitHub Copilot ナレッジベースについて正しいのは次のうちどれですか?,A.すべてのリポジトリがインデックス化されている;B.インデックスは静的;C.エンタープライズ機能です;D.すべてのファイルタイプがインデックス化される,C,GitHub Copilot ナレッジベースは、組織の内部ドキュメントとコードを使用して、より正確で関連性の高い提案を行うエンタープライズ機能です。
CLI で GitHub Copilot を使用してコード提案を生成するにはどうすればよいですか?,A.コードコメントを記入 -> 提案のショートカットを押す -> リストから最適な提案を選択する。;B. Copilot の提案を使用する -> 必要なコマンドを入力する -> リストから最適な提案を選択する。;C.コード スニペットを入力 -> copilot fine コマンドを使用して拡張 -> 提案されたコマンドを確認する。;D.プロジェクトのアーキテクチャを記述する -> copilot generate コマンドを使用する -> 生成された提案を受け入れる。,B,CLI では、必要なコマンドを入力すると Copilot が提案を提示し、最適な候補を選ぶ形式です。
ユニットテストを提案する際に、GitHub Copilot はどのように制限されるのでしょうか?,A. GitHub Copilot は、エッジケースや複雑な統合シナリオを含む、あらゆるタイプのユニットテストを生成できます。;B. GitHub Copilot は主に、コア機能に重点を置いた基本的な単体テストを提案しますが、包括的なカバレッジのためには開発者からの追加入力が必要になることがよくあります。;C. GitHub Copilot は、コードのあらゆる複雑さを処理し、適切な単体テストを自動的に生成します。;D. GitHub Copilot のユニットテスト生成における制限は、使用している IDE のバージョンによって異なる場合があります。,B,Copilot は主に基本的な単体テストを生成し、開発者による補足が求められます。
GitHub Copilot はパフォーマンス向上のためにコードの最適化をどのように提案しますか?,A.コードベースを分析し、より効率的なアルゴリズムやデータ構造を提案します。;B.より効率的なコードを使用するためにコードベースを自動的に書き換える。;C.最適なパフォーマンスを保証する厳格なコーディング標準を実施します。;D.コードベースのパフォーマンスに関する詳細なレポートを提供することにより。,A,Copilot は、より効率的なアルゴリズムやデータ構造の提案によりパフォーマンス向上を支援します。
/tests スラッシュ コマンドは開発者をどのように支援しますか?,A.詳細なテストドキュメントを作成します。;B.選択したコードの単体テストを作成します。;C.外部のテスト フレームワークと統合します。;D.テストケースを実行してコードの問題を見つけます。,B,/tests コマンドは、選択コードに対するユニットテストを作成し、品質確保を支援します。
GitHub Copilot Chat をツールとして使用する目的を最もよく表すシナリオは次のどれですか。,A.開発者がコードを生成するための完全な代替手段です。;B.提案は提供するものの、人間の判断に依存する生産性向上ツール。;C.追加の入力や監視を必要としないソフトウェア開発ソリューション。;D.デバッグとエラー修正専用に設計されたツール。,B,Copilot Chat は開発を補助するツールであり、判断は開発者に委ねられます。
GitHub Copilot が提供する提案の品質を高めるには、どのような方法がありますか? (3 つ選択してください。),A.問題またはタスクを明確に定義する;B.コードコメントに個人情報を含める;C.意味のある変数名を使用する;D.望ましい出力の例を示す;E. .gitignoreファイルを使用して無関係なファイルを除外する,ACD,明確なタスク定義、意味のある変数、出力例が品質向上に効果的です。
GitHub Copilot の使用中に、Microsoft と GitHub から IP 侵害の防止に関する支援を受けるには、どのような構成を設定する必要がありますか?,A.公開コードと「ブロック」に一致する提案;B. MITまたはGPLライセンスのコードのブロックを強制する;C.コードの提案を受け入れる前に自分で確認する必要がある;D. GitHub Copilotライセンスチェックを有効にする,A,Copilot の設定で公開コードに一致する提案をブロックすると、IP侵害のリスクが軽減されます。
GitHub Copilot Business の監査ログ イベントにアクセスする正しい方法は何ですか?,A.組織のGitHub設定のセキュリティタブに移動します;B.リポジトリ設定のInsightsタブに移動します;C.組織のGitHub設定の監査ログセクションを使用する;D. GitHubリポジトリのコードタブを使用する,C,Copilot Business の監査ログは、組織の GitHub 設定 > 監査ログセクションからアクセスできます。
品質向上のためにコードをリファクタリングする際に GitHub Copilot Chat をガイドするために使用できるプロンプトは次のどれですか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。),A.「この関数の読みやすさを改善する方法を教えてください。」;B.「このコードセグメントの保守性を高める方法を提案してください。」;C.「最新のコーディング標準を満たすようにアプリケーションをリファクタリングします。」;D.「将来のコーディングトレンドを予測し、それに応じてコードベースを更新します。」,AB,具体的な改善内容（可読性や保守性）を指定するプロンプトは効果的です。
GitHub Copilot へのプロンプトを改善するために使用できる 2 つの手法は何ですか? (2 つ選択してください。),A.具体的な成功基準を提供する;B.利用されたファイルに関するすべての情報を提供する;C.反応を得るためにコンテンツをどこから入手するかについての洞察を提供する;D.裏付けとなる文書へのリンクを提供する,AD,プロンプトを改善するには、具体的な成功基準を提供し、サポートドキュメントへのリンクを含めるとよいです。
GitHub Copilot Individual はどのように請求されますか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。),A.月額サブスクリプション;B.年間購読;C.実際の使用量に基づいて月額制で課金されるサービス;D.すべてのオープンソースプロジェクトは無料（課金なし）,AB,GitHub Copilot Individual は、月額または年額のサブスクリプションで請求されます。
公平性の概念を AI ツールの操作プロセスにどのように統合できるでしょうか?,A.アクセシビリティに重点を置くことで公平性が確保されます。;B.トレーニング用の大規模なデータセットの収集に重点を置くことで公平性が確保されます。;C. AI ツールのパフォーマンスを定期的に監視することで、出力の公平性が確保されます。;D. AI データとアルゴリズムを偏りのないようにトレーニングすることで、公平性が確保されます。,D,公平性の確保には、偏りのないデータとアルゴリズムを使ったトレーニングが重要です。
コマンドラインインターフェース (CLI) の GitHub Copilot を使用して、次の設定を構成できます。(正解はそれぞれ解決策の一部を示します。2 つ選択してください。),A.デフォルトの実行確認;B.使用状況分析;C.デフォルトのエディタ;D. GitHub CLIサブコマンド,AB,CLI の Copilot では、デフォルト実行確認と使用状況分析の設定が可能です。
コンテンツ除外の追加や更新にはどれくらいの時間がかかりますか?,A.最大30分;B. 45～60分;C.約60～90分;D. 24時間,A,コンテンツ除外の追加・更新は最大30分で反映されます。
GitHub Copilot Chat はどのようにして機能が正しく動作することを保証しますか?,A.コードのコンテキストとセマンティクスに基づいてアサーションを提案する。;B.関数のすべてのテストを自動的に記述する。;C.関数の実装コードを記述する。;D.テストケースを実行してコードの正確性を検証します。,A,Copilot Chat はアサーション提案を通じて関数の動作検証を支援します。
GitHub Copilot は、ソフトウェア開発ライフサイクル (SDLC) の要件分析フェーズで開発者をどのように支援できますか?,A.詳細な要件ドキュメントを自動的に生成します。;B.要件の文書化に役立つテンプレートとコード スニペットを提供します。;C. /help を使用する際に潜在的な要件の競合を特定し、修正します。;D.利害関係者とのコミュニケーションと会議を管理する。,B,Copilot はテンプレートやコードスニペットを通じて要件文書作成を支援します。
次のどれがロールプロンプトを説明していますか?,A.より良い提案を得るために、あなたの役割をプロンプトで説明する;B. GitHub Copilotにどのような口調で応答するかを伝える;C. GitHub Copilotに提案の役割を説明するよう促す;D. GitHub Copilotに、使用したいデータの形式の複数の例を与える,A,ロールプロンプトは役割（例: ソフトウェアエンジニア）を指定して提案精度を高めます。
Generative AI (Gen AI) ツールが不正確な出力を作成するのはなぜでしょうか?,A. Gen AI ツールは、一度に多数のリクエストによって過負荷状態になっています。;B. Gen AI ツールはダウンタイムが発生しており、完全に回復していません。;C. Gen AI ツールは、事実の正確さよりも創造性に重点を置いてプログラムされています。;D.トレーニング データに偏りや矛盾が含まれている可能性があります。,D,トレーニングデータの偏りや矛盾により不正確な出力が生成されることがあります。
GitHub Copilot のコード提案においてチャット履歴はどのような役割を果たしますか?,A.チャット履歴は、GitHub Copilot モデルをリアルタイムでトレーニングするために使用されます。;B.チャット履歴は GitHub Copilot にコンテキストを提供し、コード提案の関連性と精度を向上させます。;C.チャット履歴は保存され、他のユーザーと共有され、コラボレーションが強化されます。;D.チャット履歴は GitHub Copilot とは無関係であり、その機能には影響しません。,B,チャット履歴は Copilot に文脈を提供し、より正確なコード提案に貢献します。
GitHub Copilot は誰でも無料で使用できますか?,A.いいえ;B.はい,B,GitHub Copilot Freeプランは無料で使うことができます。
組織のメンバーに Copilot へのアクセスを許可する方法として適切ではないのは、以下のどのオプションですか。,A.エンタープライズ設定から、選択した組織またはすべての組織に対して GitHub Copilot を有効にします。;B.GitHub の REST API を使用して、組織内のチームまたは特定のユーザーに GitHub Copilot へのアクセス権を付与できます。;C.組織のメンバーは、アカウント設定から直接 Copilot を有効にできます。;D.組織の設定から、選択したチームまたはユーザー、あるいは組織全体に対して GitHub Copilot を有効にします。,C,Copilotへのアクセス権付与は、Organization のOwner権限が必要です。
GitHub Copilot はどのような IDE をサポートしていますか? (2 つ選択してください。),A.Azure Data Studio、Visual Studio、IntelliJ IDEA;B.Visual Studio Code、Xcode、Vim/NeoVim;C.Visual Studio、BlueJ、NetBeans;D.Visual Studio、NetBeans、Eclipse,AB,https://docs.github.com/en/copilot/using-github-copilot/getting-code-suggestions-in-your-ide-with-github-copilot
CLI に GitHub Copilot 拡張機能をインストールするにはどのコマンドを使用しますか?,A.gh copilotのインストール;B.gh copilotの設定;C.gh extensionのインストール github/gh-copilot;D.gh extensionにcopilotを追加,C,https://docs.github.com/en/copilot/managing-copilot/configure-personal-settings/installing-github-copilot-in-the-cli
プロンプトエンジニアリングの原則にはどのようなものがありますか? (3 つ選択してください。),A.AIに豊富なコンテキストを提供する;B.明確に定義された単一のタスクに集中する;C.指示が詳細かつ明確であることを確認する;D.長くて複雑な指示を書く,ABC,https://docs.github.com/en/copilot/using-github-copilot/prompt-engineering-for-github-copilot
GitHub Copilot から特定のファイルを除外するにはどうすればよいですか?,A.GitHubのリポジトリ設定を参照し、除外するパスを追加する;B..gitignoreファイルの編集;C.Copilot 構成ファイルで除外を構成する;D.ターミナルでコマンドを使用する,A,https://docs.github.com/en/copilot/managing-copilot/configuring-and-auditing-content-exclusion/excluding-content-from-github-copilot
Copilot のコンテンツ除外について正しいのはどれですか? (2 つ選択してください),A.コンテンツの除外は即座に適用されます;B.Copilotはプライバシーを考慮したさまざまなプランを提供しています;C.コンテンツの除外はコード補完に影響しません;D.コンテキストの除外はリポジトリレベルと組織レベルで設定できます;E.Copilotは除外されたファイルを完全に無視します,BD,https://docs.github.com/en/copilot/managing-copilot/configuring-and-auditing-content-exclusion/excluding-content-from-github-copilot
GitHub Copilot Editor 構成ファイルについて説明しているのは次のうちどれですか?,A.セキュリティ設定を含むJSONファイル;B.ビルド手順を記述したYAMLファイル;C.デプロイ設定を含むXMLファイル;D.Copilot Chat の応答をカスタマイズするための自然言語の指示を記述した Markdown ファイル,D,https://docs.github.com/en/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot
GitHub Copilot の生産性 API の使用方法を説明しているのは次のうちどれですか。,"A.組織メンバーから使用状況のメトリクスを収集する;B.監査ログを収集するには;C.Copilotを自動的に更新するには;D,特定のファイルを除外するには",A,https://docs.github.com/en/copilot/rolling-out-github-copilot-at-scale/analyzing-usage-over-time-with-the-copilot-metrics-api
GitHub Copilot Chat を外部ツールと統合するものは次のどれですか?,A.GitHub Copilot 統合;B.GitHub Copilot オープン;C.GitHub コパイロット拡張機能;D.GitHub Copilot マーケットプレイス,C,https://docs.github.com/en/enterprise-cloud@latest/copilot/using-github-copilot/using-extensions-to-integrate-external-tools-with-copilot-chat
リポジトリに合わせてカスタマイズされた応答を生成するために、GitHub Copilot にコンテキストを提供するにはどうすればよいでしょうか?,A.ファイルを変更して.gitconfigカスタム指示を含めることで;B.プロジェクトの詳細を記載したメールをGitHubサポートに送信する;C..github/copilot-instructions.mdリポジトリに名前の付いたファイルを作成することにより;D.copilot-instructions必要なコンテキストでリポジトリに名前を付けたGitHubの問題を作成することにより,C,https://docs.github.com/en/enterprise-cloud@latest/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot
GitHub Copilot は、GitHub Copilot コンテンツ除外によって無視されるファイルからのセマンティック情報を使用できますか?,A.はい、情報が IDE によって間接的に提供される場合は可能です。;B.いいえ、除外されたファイルの情報はすべて無視されます。,A,https://docs.github.com/en/copilot/managing-copilot/configuring-and-auditing-content-exclusion/excluding-content-from-github-copilot#limitations-of-content-exclusions
GitHub Copilot からコンテンツを除外するとどうなりますか? (2 つ選択してください),A.影響を受けるファイルではコード補完は利用できません。;B.影響を受けるファイルではコード補完は影響を受けません。;C.影響を受けるファイルの内容は、GitHub Copilot Chat の応答に引き続き反映されます。;D.影響を受けるファイルの内容は、他のファイルのコード補完の提案には反映されません。,AD,https://docs.github.com/en/copilot/managing-copilot/configuring-and-auditing-content-exclusion/excluding-content-from-github-copilot#about-content-exclusions-for-copilot
GitHub Copilot を使い始める最も簡単な方法は何ですか?,A.GitHub Copilot を使用する前に、GitHub サポートにアクセスをリクエストし、承認を待ちます。;B.提案を求めるときは、Copilot Web サイトを使用してコードを貼り付けます。;C.Visual Studio Code などの好みの環境に Copilot 拡張機能をインストールします。;D.新しいパブリック GitHub リポジトリを作成し、Copilot がコードをスキャンして提案できるようにします。,C,https://docs.github.com/en/copilot/using-github-copilot/getting-started-with-github-copilot
新しいコードを開発しているときに、GitHub Copilot はどのようなことを分析して関連する提案を提供するのでしょうか?,A.リポジトリ内のすべてのファイルのコンテキストを分析します。;B.現在のコード行内のコンテキストのみを分析します。;C.現在のファイルと関連ファイルのコンテキストを分析します。;D.現在のファイル内のコンテキストのみを分析します。,C,https://docs.github.com/en/copilot/using-github-copilot/best-practices-for-using-github-copilot#guide-copilot-towards-helpful-outputs
GitHub Copilot を最もよく表すオプションは次のどれですか?,A.コードベースの変更を追跡および管理するバージョン管理システム。;B.コードを提案し、コード スニペットを完成させることで開発者を支援する AI コーディング アシスタント。;C.コードを自動的にテストし、本番環境にデプロイするツール。;D.デバッグおよびエラー チェック機能を備えたコード エディター。,B,https://docs.github.com/en/copilot/about-github-copilot/what-is-github-copilot
GitHub Copilot は IDE でのコード提案のデータ保持をどのように処理しますか?,A.コードスニペットは、削除される前に30日間ディスクにキャッシュされます。;B.提案はバージョン管理のためにGitHubリポジトリに自動的に保存されます;C.すべての提案は、将来の参照のためにローカルデータベースに永続的に保存されます。;D.提案は一時的にメモリに保持され、使用後に破棄され、ディスクには書き込まれません。,D,https://resources.github.com/learn/pathways/copilot/essentials/how-github-copilot-handles-data/
GitHub Copilot のプロキシ サービスがプロンプトを処理するときに、どのような手順が発生しますか?,A.複数のプログラミング言語への翻訳と構文検証;B.参照チェックのための公開リポジトリへの直接送信;C.有害な言語のテスト、関連性のチェック、迅速なハッキングの試みの検出;D.サンドボックス環境での自動コードコンパイルと実行,C,https://resources.github.com/learn/pathways/copilot/essentials/how-github-copilot-handles-data/
GitHub Copilot の開発を導く、Microsoft の責任ある AI に関する 6 つの主要原則を正しく表す原則セットはどれですか。,A.公平性、信頼性と安全性、プライバシーとセキュリティ、包括性、透明性、説明責任;B.セキュリティ、開発、運用、保守、サポート、ドキュメント;C.効率、スピード、正確性、革新性、信頼性、そしてセキュリティ;D.プライバシー、パフォーマンス、アクセシビリティ、スケーラビリティ、保守性、テスト,A,https://learn.microsoft.com/en-us/training/modules/responsible-ai-with-github-copilot/3-six-principles-of-responsible-ai
GitHub Copilot を使用して開発者のワークフローを強化することで得られる潜在的なメリットは次のどれですか。,A.人間の承認なしにプル リクエストを自動的にマージします。;B.これにより、あらゆるプロジェクトにおけるコードレビューの必要性が完全になくなります。;C.単一のプログラミング言語で書かれたソフトウェアでのみ動作します。;D.開発者の生産性を向上させるコード スニペットを提案できます。,D,https://docs.github.com/en/copilot
GitHub Copilot の CLI コマンド機能を正しく説明している記述はどれですか?,A.提案されたコマンドは、最初にクリップボードにコピーされることなく直接実行されます。;B.「gh copilot suggests」を使用すると、ユーザーの確認なしにコマンドが自動的に実行されます。;C.「gh copilot explain」コマンドは説明を表示せずにシステムファイルを変更します;D.ユーザーは「gh copilot explain」を使用してコマンドの説明を取得し、「gh copilot suggests」を使用してコマンドの提案を取得できます。,D,https://docs.github.com/en/copilot/using-github-copilot/using-github-copilot-in-the-command-line
GitHub Copilot の '/tests' スラッシュ コマンドの主な目的は何ですか?,A.新しいテストを作成せずに、既存のテストファイルの構文のみを検証します。;B.新しいテストを生成せずに、プロジェクト内の既存のユニットテストをすべて実行します。;C.既存のテストファイルをすべて永久に削除して、最初からやり直す;D.既存のテストファイルからコンテキストを使用して、現在開いているファイルに対してユニットテストスイートを生成します。,D,https://docs.github.com/en/copilot/using-github-copilot/guides-on-using-github-copilot/writing-tests-with-github-copilot
請求サイクル中に、エンタープライズ レベルで GitHub Copilot のシート使用率はどのように計算されますか?,A.コミット総数 × アクティブな開発者数;B.座席数 × (経過日数 / 請求サイクルの合計日数);C.リポジトリの合計サイズ × 組織の数;D.コード提案の数 × 承認された補完の数,B,https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-access-to-copilot-in-your-enterprise/viewing-copilot-license-usage-in-your-enterprise
GitHub Copilot のパブリックコードマッチング機能はどのように機能しますか?,A.GitHub以外の外部コードホスティングプラットフォームと照合してコードをチェックします;B.プライベートリポジトリを含むすべてのGitHubリポジトリをリアルタイムで検索します。;C.過去24時間以内に作成されたリポジトリのコードのみに一致します;D.数ヶ月ごとに更新されるGitHubの公開リポジトリのインデックスとコードの提案を比較して一致するものを検索します。,D,https://docs.github.com/en/copilot/using-github-copilot/finding-public-code-that-matches-github-copilot-suggestions
GitHub Copilot の応答に対して実行される後処理チェックとは何ですか?,A.構文検証とコードフォーマットのチェックのみ;B.パフォーマンスベンチマークとメモリ使用量の最適化;C.有害な言語、関連性、コードの品質（セキュリティ上の脆弱性を含む）、一意の識別子、およびオプションの公開コードマッチング;D.コンパイルエラーと実行時例外をチェックするだけです,C,https://resources.github.com/learn/pathways/copilot/essentials/how-github-copilot-handles-data/
GitHub Copilot は、提案を生成する際にどの要素をコンテキストとして使用できますか?,A.プロジェクトのREADMEファイルのみ。他には何もなし。;B.編集中のコード行のみ、周囲のコンテキストは無視されます;C.インターネットからの外部文書のみ;D.現在のファイル、隣接するファイル、リポジトリの URL、ファイル パス、および以前のチャットのやり取りの内容,D,https://docs.github.com/en/copilot/using-github-copilot/getting-started-with-github-copilot#using-context-in-github-copilot
